hidden,noise_multiplier,activation,n_g,c_p,lr,IS,latent_type,model_fp,48000
[64],0.3,Tanh,,0.25,0.02,1.5238923971309004,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.4,Tanh,,0.25,0.01,1.7402432608151734,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.4,Tanh,,0.25,0.02,1.5485041973895932,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.5,Tanh,,0.25,0.01,1.6834384567949086,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.5,Tanh,,0.25,0.02,1.534304266575581,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.6,Tanh,,0.25,0.01,1.618999853496263,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.6,Tanh,,0.25,0.02,1.7137381939602976,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.3,Tanh,,0.1,0.01,1.4613545305574311,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.3,Tanh,,0.1,0.02,1.427507004104448,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.4,Tanh,,0.1,0.01,1.5969094135221171,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.4,Tanh,,0.1,0.02,1.4827173745463271,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.5,Tanh,,0.1,0.01,1.6835246435195104,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.5,Tanh,,0.1,0.02,1.5152329092869428,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.6,Tanh,,0.1,0.01,1.7600685570644499,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.6,Tanh,,0.1,0.02,1.7039852891643263,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.3,Tanh,,0.05,0.01,1.3922709205990924,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.3,Tanh,,0.05,0.02,1.4506390505090982,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.4,Tanh,,0.05,0.01,1.4439780794841877,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.4,Tanh,,0.05,0.02,1.482875373328025,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.5,Tanh,,0.05,0.01,1.49967580967007,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.5,Tanh,,0.05,0.02,1.5325964829011802,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.6,Tanh,,0.05,0.01,1.5290640858338027,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.6,Tanh,,0.05,0.02,1.7742526491621093,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
